@relation sampleData

@attribute position numeric
@attribute min_copies numeric
@attribute max_copies numeric
@attribute days_left numeric

@data
3,1,18,13
2,10,10,1
4,10,10,8
3,17,17,5
1,28,29,3
3,4,4,21
3,4,4,19
3,4,4,15
4,4,4,22
2,3,3,2
3,3,3,6
5,3,3,42
5,3,3,39
5,3,3,36
9,3,3,72
3,3,3,18
1,7,7,3
1,7,7,1
2,7,7,7
1,8,8,6
1,4,4,6
1,4,4,3
1,4,4,6
1,4,4,5
1,1,1,3
1,1,1,4
1,1,1,1
2,1,1,34
2,1,1,31
2,1,1,28
2,1,1,24
3,1,1,64
3,1,1,61
3,1,1,58
1,1,1,18
1,1,1,15
1,1,1,12
1,1,1,8
1,5,5,3
1,3,3,4
1,5,5,3
1,4,4,2
4,8,8,7
4,8,8,5
4,8,8,4
5,8,8,8
11,8,8,8
13,8,8,13
3,29,29,1
1,10,10,3
8,8,8,31
8,8,8,28
13,42,42,13
15,42,42,16
69,142,143,3
136,142,143,12
199,142,143,19
269,142,143,27
309,142,143,31
367,142,143,37
427,142,143,44
445,142,143,46
46,156,158,2
145,156,158,14
183,156,158,18
275,156,158,28
467,156,158,46
606,156,158,58
687,156,158,64
773,156,158,71
139,210,213,10
197,210,213,15
479,210,213,35
506,210,213,36
1100,210,213,71
35,37,38,15
38,37,38,17
42,37,38,18
63,37,38,29
71,37,38,33
87,37,38,38
90,37,38,41
90,37,38,40
90,37,38,39
2,1,1,3
1,4,4,9
1,4,4,6
1,4,4,3
1,4,4,4
1,4,4,1
15,18,18,8
15,18,18,4
15,18,18,2
15,18,18,1
17,18,18,12
18,18,18,13
22,18,18,16
22,18,18,15
52,18,18,39
53,18,18,40
55,18,18,41
58,18,18,45
58,18,18,44
61,18,18,47
90,18,18,67
111,18,18,82
113,18,18,89
113,18,18,87
115,18,18,102
115,18,18,100
1,4,4,3
1,2,2,1
1,5,5,5
1,4,4,11
1,4,4,8
2,4,4,19
2,4,4,16
2,4,4,12
1,4,4,2
1,4,4,2
19,8,8,44
19,8,8,43
19,8,8,37
3,13,13,17
3,13,13,13
3,13,13,10
2,7,7,4
2,7,7,2
1,12,12,5
1,12,12,2
21,26,26,11
27,26,26,14
61,26,26,37
69,26,26,42
73,26,26,47
78,26,26,51
81,26,26,53
4,4,4,19
1,1,1,159
1,1,1,156
1,1,1,153
1,1,1,150
1,1,1,130
1,1,1,127
1,1,1,124
1,1,1,121
1,1,1,98
1,1,1,95
1,1,1,92
1,1,1,69
1,1,1,66
1,1,1,63
1,1,1,60
1,1,1,40
1,1,1,37
1,1,1,34
1,1,1,31
1,1,1,8
1,1,1,5
1,1,1,2
1,1,1,180
1,1,1,160
1,1,1,157
1,1,1,154
1,1,1,151
1,1,1,128
1,1,1,125
1,1,1,122
1,1,1,99
1,1,1,96
1,1,1,93
1,1,1,90
